Date,Open,High,Low,Close
2022-11-17,1.1919,1.1956,1.1765,1.1915
2022-11-18,1.1859,1.1950,1.1859,1.1860
2022-11-21,1.1887,1.1888,1.1781,1.1886
2022-11-22,1.1825,1.1902,1.1823,1.1828
2022-11-23,1.1899,1.2078,1.1873,1.1895
2022-11-24,1.2078,1.2154,1.2061,1.2074
2022-11-25,1.2110,1.2130,1.2062,1.2113
2022-11-28,1.2061,1.2118,1.2023,1.2055
2022-11-29,1.1963,1.2064,1.1955,1.1960
2022-11-30,1.1944,1.2027,1.1904,1.1947
2022-12-01,1.2076,1.2297,1.2074,1.2078
2022-12-02,1.2254,1.2296,1.2139,1.2259
2022-12-05,1.2298,1.2345,1.2165,1.2297
2022-12-06,1.2194,1.2263,1.2159,1.2192
2022-12-07,1.2134,1.2224,1.2108,1.2133
2022-12-08,1.2213,1.2247,1.2156,1.2212
2022-12-09,1.2235,1.2323,1.2223,1.2236
2022-12-12,1.2237,1.2300,1.2213,1.2239
2022-12-13,1.2270,1.2442,1.2251,1.2271
2022-12-14,1.2356,1.2422,1.2344,1.2357
2022-12-15,1.2419,1.2425,1.2204,1.2419
2022-12-16,1.2191,1.2223,1.2122,1.2189
2022-12-19,1.2161,1.2242,1.2123,1.2160
2022-12-20,1.2156,1.2219,1.2087,1.2153
2022-12-21,1.2189,1.2190,1.2071,1.2189
2022-12-22,1.2077,1.2146,1.1994,1.2077
2022-12-23,1.2039,1.2090,1.2021,1.2040
2022-12-26,1.2060,1.2096,1.2054,1.2060
2022-12-27,1.2084,1.2112,1.2003,1.2084
2022-12-28,1.2028,1.2124,1.2003,1.2027
2022-12-29,1.2033,1.2076,1.2015,1.2028
2022-12-30,1.2057,1.2107,1.2013,1.2056
2023-01-02,1.2120,1.2123,1.2038,1.2120
2023-01-03,1.2064,1.2090,1.1904,1.2063
2023-01-04,1.1968,1.2087,1.1968,1.1970
2023-01-05,1.2053,1.2078,1.1878,1.2057
2023-01-06,1.1910,1.2068,1.1845,1.1912
2023-01-09,1.2121,1.2207,1.2095,1.2116
2023-01-10,1.2185,1.2198,1.2113,1.2185
2023-01-11,1.2155,1.2178,1.2102,1.2155
2023-01-12,1.2160,1.2237,1.2097,1.2160
2023-01-13,1.2216,1.2247,1.2152,1.2218
2023-01-16,1.2225,1.2289,1.2174,1.2227
2023-01-17,1.2209,1.2300,1.2171,1.2208
2023-01-18,1.2284,1.2433,1.2257,1.2285
2023-01-19,1.2347,1.2375,1.2314,1.2348
2023-01-20,1.2392,1.2400,1.2337,1.2393
2023-01-23,1.2407,1.2449,1.2325,1.2406
2023-01-24,1.2379,1.2414,1.2265,1.2380
